z,zErr,specClass,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z
1.60168,2.07419E-3,3,20.682287,20.453917,20.397537,20.266481,20.381332,0.056413,0.028481,0.032549,0.035201,0.132343
0.553741,1.64099E-3,3,19.551729,19.186184,19.192778,19.010136,18.978693,0.034572,0.017039,0.014764,0.020803,0.044334
3.7126,6.80192E-4,4,24.177368,20.475573,19.177309,18.948439,18.815508,0.759172,0.023749,0.015112,0.016818,0.039673
0.938297,1.29845E-3,3,19.566586,19.314394,19.043262,19.069485,18.944046,0.029284,0.014624,0.01552,0.018777,0.043801
1.89499,2.23405E-3,3,20.464222,20.285006,20.195887,19.866989,19.729603,0.04958,0.021095,0.025496,0.024371,0.077484
2.74139,1.28931E-3,4,19.937956,19.287098,19.12797,19.085497,19.054096,0.035343,0.015111,0.015683,0.018991,0.047069
4.0101,6.03657E-4,4,23.528288,20.955572,19.550739,19.327827,19.238016,0.550866,0.031328,0.017832,0.02087,0.053423
1.3829,1.91463E-3,3,19.582716,19.382454,18.942289,18.824471,18.841993,0.028417,0.015979,0.013035,0.015569,0.038603
1.32829,1.52724E-3,3,19.801237,19.724306,19.347519,19.243776,19.266006,0.031583,0.01735,0.015654,0.018172,0.053678
1.2942,3.35926E-3,3,19.594301,19.5837,19.101925,19.055052,19.184717,0.026602,0.015465,0.01339,0.016488,0.049418
1.54915,2.15521E-3,3,19.558283,19.313871,19.269732,18.997877,19.077721,0.027246,0.016474,0.015882,0.01479,0.047121
1.8444,1.54689E-3,3,20.173431,20.01417,19.967958,19.673882,19.692888,0.040127,0.018029,0.020621,0.021294,0.075498
0.859533,1.36073E-3,3,19.599371,19.421286,19.288952,19.198675,19.002083,0.02904,0.017199,0.01344,0.018533,0.043155
1.01401,2.9942E-3,3,20.395493,20.319765,20.094288,20.315943,20.166681,0.045988,0.023124,0.024727,0.034605,0.106614
1.00094,2.26876E-3,3,20.503258,20.182131,19.911867,19.861782,19.519667,0.050694,0.022649,0.019859,0.027651,0.066492
1.1249,3.16768E-3,3,19.288286,19.218307,19.040388,19.000389,19.017822,0.026031,0.024215,0.013337,0.017584,0.048976
3.81436,9.73014E-4,3,24.319975,21.73996,20.416914,20.124102,20.44883,0.916837,0.065939,0.027647,0.030766,0.152225
1.41932,1.56806E-3,3,19.354656,19.472437,18.932793,18.927584,18.975668,0.027574,0.019479,0.021879,0.029303,0.042115
1.90997,1.44857E-3,3,20.015348,19.703587,19.465393,19.213779,19.021431,0.037204,0.020226,0.022584,0.02104,0.044007
0.673901,1.32413E-3,3,19.970222,19.459711,19.308863,19.191252,19.210493,0.035639,0.019153,0.022056,0.020614,0.051208
2.063,1.02328E-3,3,20.219034,20.086418,20.022041,19.867992,19.802685,0.046467,0.021775,0.025728,0.025209,0.083532
1.54406,2.46745E-3,3,19.620098,19.268156,19.04192,18.808729,18.794781,0.031912,0.021405,0.017227,0.014672,0.03763
1.16467,1.47369E-3,3,20.339445,20.214834,19.818371,19.728848,19.562799,0.046461,0.019165,0.020375,0.023826,0.066573
1.68513,3.61879E-3,3,20.298388,20.097012,19.988518,19.824991,19.650919,0.042473,0.021974,0.025078,0.025379,0.063967
1.64612,2.46558E-3,3,20.425806,20.197212,20.196054,19.975655,19.962315,0.063099,0.028947,0.027682,0.033245,0.126563
1.48759,2.30216E-3,3,20.731125,20.457376,20.357538,20.247663,20.139439,0.087455,0.035778,0.040165,0.050233,0.168736
1.59236,2.21409E-3,3,19.569828,19.137009,18.926094,18.569481,18.57761,0.033585,0.014919,0.015086,0.015722,0.03443
1.0996,1.62308E-3,3,19.623676,19.363207,18.889362,18.931822,19.038723,0.03414,0.015863,0.014992,0.020074,0.047613
1.77338,1.77159E-3,3,20.375521,19.907927,19.532524,19.072897,19.006004,0.049693,0.025158,0.020358,0.019808,0.050326
