z,zErr,specClass,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z
1.07197E-4,6.77152E-5,1,20.922413,19.41054,18.747011,18.477665,18.36149,0.068307,0.019349,0.019867,0.018896,0.027628
5.11999E-4,8.91017E-5,1,20.169313,19.158875,18.975321,18.915125,19.00539,0.037835,0.016088,0.018515,0.018636,0.045709
-1.88495E-5,8.14265E-5,1,22.147703,19.716141,18.476328,18.397137,17.685213,0.206613,0.02063,0.013942,0.02425,0.023871
-1.85259E-4,1.32342E-4,1,20.326134,19.069622,19.183884,19.314087,19.40011,0.044317,0.018648,0.018213,0.017866,0.068707
-4.16474E-4,8.22179E-5,1,22.462601,20.089121,18.923721,18.973236,18.250082,0.225075,0.018084,0.019237,0.028249,0.034004
4.96813E-4,7.67103E-5,1,21.00041,19.566391,19.047993,18.735573,18.700491,0.089942,0.034105,0.023496,0.018832,0.0503
1.66544E-4,6.66237E-5,1,20.951181,19.175205,18.746254,18.427082,18.309029,0.10763,0.033046,0.038003,0.027679,0.039808
6.83152E-5,7.75132E-5,1,21.227877,19.665756,19.338959,19.010977,18.922991,0.134481,0.0366,0.04111,0.031603,0.057379
1.29379E-4,1.37845E-4,1,20.416931,19.134033,19.221115,19.372183,19.408697,0.045693,0.020996,0.021145,0.023305,0.058239
-1.63753E-4,9.25589E-5,1,20.097357,19.138386,19.012991,18.97047,19.062788,0.048576,0.022702,0.02275,0.026873,0.05024
-4.34275E-5,1.23567E-4,1,20.380236,19.135881,19.28289,19.414518,19.34849,0.04533,0.020956,0.016686,0.019824,0.056488
3.50326E-4,9.82227E-5,1,21.253941,19.950275,19.373928,19.186901,19.05654,0.096702,0.030421,0.029309,0.026482,0.044559
3.43211E-4,3.73952E-4,1,19.1353,19.336323,19.827711,20.198051,20.567883,0.02561,0.016284,0.02453,0.041848,0.184294
-6.20726E-5,1.109E-4,1,20.264456,19.113222,18.940739,18.968645,18.950428,0.044352,0.020274,0.019624,0.025721,0.049766
6.35486E-4,4.26722E-4,1,20.290266,20.074722,20.382383,20.658434,20.965563,0.051486,0.02049,0.02954,0.048096,0.196237
2.11835E-5,2.1251E-4,1,19.151474,19.13302,19.409477,19.656141,19.767759,0.027027,0.018601,0.017724,0.028381,0.091982
8.61339E-4,2.45322E-4,1,22.596592,20.634352,19.415348,19.192089,19.07016,0.243906,0.028049,0.023959,0.019517,0.039063
8.97522E-5,7.30374E-5,1,22.164341,20.140232,19.13434,18.924109,18.882809,0.295905,0.03748,0.041518,0.035176,0.056938
1.97307E-4,8.58063E-5,1,20.300196,19.210136,19.097111,19.004192,19.011108,0.046509,0.021922,0.014708,0.016033,0.042286
7.91205E-5,1.68295E-4,1,19.952534,19.563555,19.52504,19.600546,19.654354,0.046444,0.018801,0.022254,0.028977,0.097513
7.26077E-5,1.08509E-4,1,20.357782,19.202919,19.115191,19.112833,19.183439,0.042825,0.013844,0.015125,0.018468,0.041675
-1.6229E-4,1.58517E-4,1,21.489546,20.476257,20.373053,20.406855,20.302086,0.089528,0.023749,0.026296,0.033285,0.097879
-1.33661E-4,6.50412E-5,1,24.618528,21.232479,19.393818,18.84062,18.656059,0.719853,4.263505,4.042384,2.537686,0.800599
3.54421E-4,6.77156E-5,1,20.686232,19.152039,18.426495,18.143719,17.989771,0.054013,0.016425,0.013455,0.017007,0.022814
-9.91556E-5,3.59628E-4,1,19.723698,19.229679,19.374617,19.630356,19.867302,0.028546,0.014013,0.018245,0.023772,0.067184
1.29158E-4,1.09774E-4,1,20.720852,19.447445,19.432037,19.492104,19.470119,0.054807,0.023154,0.015288,0.020874,0.04991
1.95068E-4,7.14554E-5,1,24.633688,21.138247,19.849768,19.062607,18.876539,0.814793,11.425932,10.268344,6.199779,1.410015
2.72943E-3,3.48439E-4,1,20.066761,20.336142,20.368492,20.184565,19.782192,0.041947,0.033993,0.037159,0.048663,0.084711
7.50782E-5,6.56016E-5,1,20.975458,19.164438,18.35475,18.033522,17.960411,0.066661,0.022275,0.028371,0.032587,0.059969
7.71741E-4,4.46525E-4,1,20.17782,19.893278,20.118462,20.363354,20.709719,0.041728,0.021585,0.023893,0.036283,0.13576
-4.9233E-4,8.12025E-5,1,20.760815,19.432806,19.154278,19.071857,19.055588,0.055416,0.022344,0.015241,0.01689,0.042737
5.29972E-4,1.92893E-4,1,21.653147,20.51799,20.461788,20.584526,20.35121,0.103098,0.023351,0.025042,0.037786,0.109605
1.59425E-4,7.89085E-5,1,21.322033,19.397652,18.537413,18.189362,17.994507,0.082365,0.017742,0.013599,0.012635,0.022093
-2.92576E-4,6.52301E-5,1,20.510971,19.040659,18.475574,18.244242,18.389284,0.057842,0.023418,0.017503,0.018571,0.050498
7.6092E-4,1.00945E-4,1,20.412697,19.524815,19.401463,19.28236,18.921312,0.053178,0.019828,0.017031,0.02444,0.041847
4.78829E-4,9.59519E-5,1,20.198931,19.080971,18.999161,18.943703,18.970774,0.057429,0.016661,0.022008,0.025044,0.057243
4.38373E-4,1.95288E-4,1,21.491819,19.676546,18.620642,18.339439,18.136124,0.145637,0.042276,0.022535,0.019521,0.029152
8.11631E-5,8.57027E-5,1,20.531759,19.273693,19.060287,18.973499,19.063263,0.058677,0.032031,0.027638,0.022976,0.052908
3.03234E-4,9.29132E-5,1,20.07638,19.010366,18.662888,18.523754,18.601292,0.047444,0.027291,0.025831,0.029083,0.049385
-3.20447E-4,4.57201E-4,1,20.192463,19.995892,20.314516,20.564875,20.529427,0.037422,0.020211,0.026696,0.037385,0.137467
-1.37449E-4,1.53116E-4,1,20.371382,19.219788,19.312325,19.430023,19.529375,0.05324,0.018836,0.015301,0.021598,0.060733
8.52296E-4,1.02121E-4,1,20.240316,19.316767,19.086668,19.024744,18.978245,0.043602,0.01596,0.02007,0.024369,0.044008
-3.2971E-4,8.51008E-5,1,19.975573,19.000927,18.751198,18.683575,18.610397,0.041605,0.015796,0.016767,0.022414,0.03212
1.07555E-5,9.72369E-5,1,24.02092,22.155361,20.411732,18.770323,18.060022,0.746433,0.109594,0.254738,0.269601,0.046551
1.09655E-4,4.45144E-4,1,20.075682,19.866655,20.130831,20.394661,20.723001,0.038869,0.019209,0.027505,0.040388,0.138552
-1.77167E-4,1.08772E-4,1,20.122139,19.076969,18.989262,18.977257,18.996456,0.03761,0.023053,0.017255,0.020644,0.040318
-3.99268E-5,8.50533E-5,1,22.558712,20.344664,19.48221,19.569649,18.917534,0.274085,0.026548,0.016932,0.038999,0.046955
-5.42907E-5,1.92968E-4,1,20.288992,19.842464,19.876162,20.052109,20.220995,0.041318,0.01903,0.024696,0.031989,0.101344
-1.32018E-4,1.07791E-4,1,20.35811,19.327627,19.094204,19.057039,19.030493,0.051491,0.028743,0.021491,0.020407,0.039405
-2.36225E-4,1.19703E-4,1,21.197018,20.071825,20.030727,20.047476,20.031593,0.07387,0.018908,0.019511,0.02492,0.081917
-4.51836E-4,9.89135E-5,1,20.169743,19.23134,18.972868,18.867153,18.887396,0.04401,0.016548,0.018833,0.01659,0.04105
-6.0515E-5,4.07568E-4,1,19.809587,19.378136,19.608086,19.806938,20.011044,0.029611,0.01498,0.015452,0.023808,0.079816
2.48962E-4,9.38216E-5,1,21.490572,20.206352,19.882238,19.281542,19.165133,0.090377,0.021818,0.03448,0.019634,0.041763
1.1047E-4,8.80683E-5,1,22.395803,20.0305,19.010872,18.880779,18.395191,0.187413,0.021533,0.015689,0.025223,0.026974
-2.3087E-4,6.09321E-5,1,21.393143,19.476316,18.695808,18.459925,18.228561,0.083857,0.018026,0.014109,0.017764,0.024542
-1.77461E-4,6.08658E-5,1,20.70466,19.058958,18.289215,17.995844,17.844404,0.051907,0.015378,0.015623,0.014542,0.019244
-2.57514E-4,6.92261E-5,1,22.398939,20.104401,20.73418,17.374859,16.649784,0.921525,6.981776,4.819539,1.703641,1.659025
-1.81733E-4,7.8249E-5,1,21.625711,19.609486,18.661621,18.256815,18.905951,0.108007,0.017572,0.018717,0.019854,0.072187
1.48899E-8,7.18095E-5,1,20.188448,19.776634,18.36565,18.189388,18.118078,0.039731,0.045557,0.013138,0.015265,0.025193
4.8573E-4,2.14287E-4,1,20.265018,20.160954,20.436043,20.720764,20.996681,0.045136,0.018446,0.028478,0.04955,0.2525
7.52102E-4,1.18763E-4,1,20.083178,19.122314,19.034729,18.98354,19.102242,0.044361,0.016498,0.023666,0.02424,0.048702
-2.05476E-4,1.2994E-4,1,20.313587,19.204367,19.144623,19.233213,19.224009,0.042595,0.016454,0.01634,0.018659,0.045816
-6.7982E-5,3.84411E-4,1,19.347845,19.025141,19.280115,19.566566,19.836048,0.025427,0.015171,0.015458,0.021561,0.074432
5.57721E-4,8.40158E-5,1,20.155079,19.173616,18.975845,18.986404,18.990633,0.052834,0.027603,0.03475,0.024944,0.054085
1.16227E-3,2.35503E-4,1,20.444239,20.362087,20.704603,21.124146,21.22488,0.054348,0.025072,0.035743,0.077504,0.286768
-5.34609E-5,1.22485E-4,1,20.403681,19.41975,19.320469,19.279272,19.191988,0.056735,0.03136,0.026594,0.022356,0.057999
-1.09845E-4,7.53497E-5,1,20.034853,19.036404,18.845015,18.810028,18.916893,0.04018,0.017938,0.014266,0.016506,0.043972
2.77174E-4,1.40185E-4,1,20.908503,19.722229,19.72821,19.808846,19.881134,0.059307,0.017032,0.016814,0.021258,0.070558
7.16422E-4,8.91866E-5,1,20.638977,19.522417,19.19281,18.759867,18.643206,0.057768,0.019804,0.022004,0.018702,0.028847
1.2965E-4,3.86868E-4,1,19.84696,19.604908,19.961906,20.268719,20.549292,0.032522,0.02453,0.025577,0.037179,0.143843
-4.57406E-4,9.67769E-5,1,20.219995,19.310282,19.128979,19.040989,18.966442,0.0459,0.015908,0.01824,0.027073,0.045576
1.04923E-4,3.74214E-4,1,21.005802,20.529806,20.65818,20.659145,20.978085,0.066768,0.024444,0.032552,0.045117,0.189747
-4.06084E-5,6.84844E-5,1,21.508656,19.054726,17.825254,17.617802,17.418743,0.139041,0.019397,0.018797,0.012753,0.019326
5.69565E-5,8.39093E-5,1,21.222897,19.924534,19.495642,19.128994,19.082272,0.110662,0.035679,0.034895,0.047431,0.063915
7.24768E-4,9.14781E-5,1,20.32909,19.395145,19.037683,18.904299,18.767633,0.061767,0.032348,0.032246,0.045984,0.049554
3.64107E-4,1.34619E-4,1,24.177532,21.457586,19.583092,18.81819,18.243294,0.850758,0.047679,0.03282,0.022333,0.028319
4.01116E-4,1.34425E-4,1,22.991728,20.822041,19.525616,18.965342,18.638382,0.384499,0.036636,0.018,0.017333,0.035347
1.33107E-4,1.80444E-4,1,19.571665,19.143663,19.178476,19.314411,19.370605,0.049145,0.030903,0.028426,0.033872,0.082011
1.45647E-4,2.02704E-4,1,19.680208,19.458895,19.713385,19.970692,20.177908,0.0326,0.016131,0.019116,0.031477,0.116074
1.09222E-3,3.46766E-4,1,22.370291,20.0744,18.868286,18.542856,18.344723,0.359645,0.023034,0.018796,0.027421,0.032293
5.34571E-4,1.02144E-4,1,20.932116,20.1115,19.750675,19.44158,19.811575,0.101626,0.241187,1.769446,4.028222,0.141026
4.64527E-5,1.16121E-4,1,20.271482,19.309908,19.238646,19.259359,19.401768,0.048307,0.01755,0.021549,0.025065,0.059388
-1.86682E-4,8.29777E-5,1,22.338099,21.148661,18.785004,18.334572,18.089798,0.186198,0.132768,0.015674,0.01528,0.022997
